Location 1,Location 2,Price
Mont-Kiara,Kuala-Lumpur,1000000
Cheras,Kuala-Lumpur,310000
Kepong,Kuala-Lumpur,358000
Taman-Desa,Kuala-Lumpur,455000
Kepong,Kuala-Lumpur,358000
Kepong,Kuala-Lumpur,358000
Bukit-Jalil,Kuala-Lumpur,505000
Jalan-Klang-Lama,Kuala-Lumpur,410000
Setapak,Kuala-Lumpur,278000
Sentul,Kuala-Lumpur,688000
Mont-Kiara,Kuala-Lumpur,660000
Jalan-Klang-Lama,Kuala-Lumpur,338000
Damansara-Heights,Kuala-Lumpur,18000000
Jalan-Klang-Lama,Kuala-Lumpur,400000
Cheras,Kuala-Lumpur,390000
Desa-ParkCity,Kuala-Lumpur,909000
Mont-Kiara,Kuala-Lumpur,1140000
Setapak,Kuala-Lumpur,420000
Keramat,Kuala-Lumpur,500000
Sentul,Kuala-Lumpur,370000
Taman-Melawati,Kuala-Lumpur,480000
Taman-Melawati,Kuala-Lumpur,540000
Taman-Melawati,Kuala-Lumpur,530000
Taman-Melawati,Kuala-Lumpur,500000
Taman-Melawati,Kuala-Lumpur,480000
Taman-Melawati,Kuala-Lumpur,520000
Taman-Melawati,Kuala-Lumpur,500000
Cheras,Kuala-Lumpur,430000
Segambut,Kuala-Lumpur,355000
Jalan-Klang-Lama,Kuala-Lumpur,400000
Taman-Melawati,Kuala-Lumpur,500000
Setapak,Kuala-Lumpur,395000
Mont-Kiara,Kuala-Lumpur,498200
Jalan-Klang-Lama,Kuala-Lumpur,405000
Cheras,Kuala-Lumpur,560000
Cheras,Kuala-Lumpur,555000
KLCC,Kuala-Lumpur,1400000
Cheras,Kuala-Lumpur,388000
Setapak,Kuala-Lumpur,595764
Setapak,Kuala-Lumpur,578000
Cheras,Kuala-Lumpur,440000
KLCC,Kuala-Lumpur,1300000
Jalan-Kuching,Kuala-Lumpur,618000
Sentul,Kuala-Lumpur,360000
Mont-Kiara,Kuala-Lumpur,982784
Sentul,Kuala-Lumpur,380000
Sri-Petaling,Kuala-Lumpur,390000
Setapak,Kuala-Lumpur,460000
Setapak,Kuala-Lumpur,480000
Segambut,Kuala-Lumpur,570000
Pantai,Kuala-Lumpur,735000
Segambut,Kuala-Lumpur,630000
Segambut,Kuala-Lumpur,590000
Segambut,Kuala-Lumpur,580000
Pantai,Kuala-Lumpur,699000
Pantai,Kuala-Lumpur,680000
Pantai,Kuala-Lumpur,700000
Segambut,Kuala-Lumpur,620000
Pantai,Kuala-Lumpur,720000
Segambut,Kuala-Lumpur,700000
Segambut,Kuala-Lumpur,628000
Segambut,Kuala-Lumpur,690000
Pantai,Kuala-Lumpur,740000
Cheras,Kuala-Lumpur,383000
Cheras,Kuala-Lumpur,383000
Jalan-Ipoh,Kuala-Lumpur,450000
Setapak,Kuala-Lumpur,416000
Segambut,Kuala-Lumpur,750000
Setapak,Kuala-Lumpur,416000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,925000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,835000
Pantai,Kuala-Lumpur,499999
Jalan-Kuching,Kuala-Lumpur,300000
Bukit-Bintang,Kuala-Lumpur,980000
KL-Sentral,Kuala-Lumpur,1111000
Kepong,Kuala-Lumpur,520000
Titiwangsa,Kuala-Lumpur,450000
Cheras,Kuala-Lumpur,860000
KLCC,Kuala-Lumpur,1550000
Kepong,Kuala-Lumpur,520000
Kepong,Kuala-Lumpur,530000
KLCC,Kuala-Lumpur,1500000
KLCC,Kuala-Lumpur,3700
Sentul,Kuala-Lumpur,600000
KLCC,Kuala-Lumpur,900000
Desa-ParkCity,Kuala-Lumpur,1100000
Jalan-Ipoh,Kuala-Lumpur,590000
Jalan-Ipoh,Kuala-Lumpur,590000
Mont-Kiara,Kuala-Lumpur,620000
Setapak,Kuala-Lumpur,470000
Salak-Selatan,Kuala-Lumpur,620000
Cheras,Kuala-Lumpur,490000
Mont-Kiara,Kuala-Lumpur,1180000
Sungai-Besi,Kuala-Lumpur,529000
Sungai-Besi,Kuala-Lumpur,520000
KL-City,Kuala-Lumpur,650000
Sungai-Besi,Kuala-Lumpur,550000
Bukit-Bintang,Kuala-Lumpur,1150000
Salak-Selatan,Kuala-Lumpur,458000
Sungai-Besi,Kuala-Lumpur,450000
Sungai-Besi,Kuala-Lumpur,450000
Sungai-Besi,Kuala-Lumpur,355000
KLCC,Kuala-Lumpur,870000
Sungai-Besi,Kuala-Lumpur,530000
Jalan-Klang-Lama,Kuala-Lumpur,725000
Segambut,Kuala-Lumpur,350000
Ampang,Kuala-Lumpur,600000
KLCC,Kuala-Lumpur,1450000
Jalan-Kuching,Kuala-Lumpur,400000
KL-City,Kuala-Lumpur,240000
Jalan-Kuching,Kuala-Lumpur,450000
Jalan-Kuching,Kuala-Lumpur,420000
Cheras,Kuala-Lumpur,530000
Cheras,Kuala-Lumpur,510000
Bukit-Jalil,Kuala-Lumpur,500000
Cheras,Kuala-Lumpur,678000
Cheras,Kuala-Lumpur,727000
Mont-Kiara,Kuala-Lumpur,680000
KLCC,Kuala-Lumpur,2900
Setapak,Kuala-Lumpur,380000
Desa-Petaling,Kuala-Lumpur,390000
Titiwangsa,Kuala-Lumpur,580000
KLCC,Kuala-Lumpur,1450000
Dutamas,Kuala-Lumpur,970000
Dutamas,Kuala-Lumpur,1200000
Jalan-Ipoh,Kuala-Lumpur,500000
Sentul,Kuala-Lumpur,395000
Sentul,Kuala-Lumpur,395000
Sentul,Kuala-Lumpur,395000
Sentul,Kuala-Lumpur,365000
Jalan-Klang-Lama,Kuala-Lumpur,435000
Ampang,Kuala-Lumpur,880000
Setapak,Kuala-Lumpur,480000
Cheras,Kuala-Lumpur,795000
Bukit-Bintang,Kuala-Lumpur,1020000
Cheras,Kuala-Lumpur,415000
Ampang,Kuala-Lumpur,600000
Sentul,Kuala-Lumpur,374100
Sentul,Kuala-Lumpur,374100
Sentul,Kuala-Lumpur,374100
Bangsar,Kuala-Lumpur,702000
Bangsar,Kuala-Lumpur,702000
Bangsar,Kuala-Lumpur,702000
Bukit-Bintang,Kuala-Lumpur,1050000
KL-Eco-City,Kuala-Lumpur,1200000
Ampang,Kuala-Lumpur,650000
Bukit-Bintang,Kuala-Lumpur,1350000
Bukit-Bintang,Kuala-Lumpur,1150000
Bukit-Bintang,Kuala-Lumpur,1180000
Bukit-Bintang,Kuala-Lumpur,1123500
Mont-Kiara,Kuala-Lumpur,899000
Jalan-Ipoh,Kuala-Lumpur,642800
Cheras,Kuala-Lumpur,420000
City-Centre,Kuala-Lumpur,830000
KLCC,Kuala-Lumpur,1700000
KLCC,Kuala-Lumpur,1500000
Sungai-Besi,Kuala-Lumpur,520000
Sungai-Besi,Kuala-Lumpur,530000
KLCC,Kuala-Lumpur,1300000
Bandar-Menjalara,Kuala-Lumpur,435000
Kepong,Kuala-Lumpur,550000
Jalan-Kuching,Kuala-Lumpur,420000
KLCC,Kuala-Lumpur,2900000
Bandar-Menjalara,Kuala-Lumpur,420000
Sentul,Kuala-Lumpur,428000
KL-City,Kuala-Lumpur,1700080
Bandar-Menjalara,Kuala-Lumpur,400000
Bandar-Menjalara,Kuala-Lumpur,405000
Desa-ParkCity,Kuala-Lumpur,1100000
Sentul,Kuala-Lumpur,500000
Bukit-Jalil,Kuala-Lumpur,1500
Cheras,Kuala-Lumpur,525000
Desa-ParkCity,Kuala-Lumpur,815000
Sentul,Kuala-Lumpur,615000
Sentul,Kuala-Lumpur,710000
Sentul,Kuala-Lumpur,650000
Sentul,Kuala-Lumpur,649000
Wangsa-Maju,Kuala-Lumpur,710000
Desa-Pandan,Kuala-Lumpur,950000
KLCC,Kuala-Lumpur,2100000
KL-Sentral,Kuala-Lumpur,1528888
Sentul,Kuala-Lumpur,800000
Desa-Pandan,Kuala-Lumpur,780000
KLCC,Kuala-Lumpur,2337050
KLCC,Kuala-Lumpur,2506500
KL-Sentral,Kuala-Lumpur,1588000
Damansara-Heights,Kuala-Lumpur,1109760
City-Centre,Kuala-Lumpur,755000
Wangsa-Maju,Kuala-Lumpur,550000
Mont-Kiara,Kuala-Lumpur,780000
Sentul,Kuala-Lumpur,635000
Salak-Selatan,Kuala-Lumpur,358000
Desa-Petaling,Kuala-Lumpur,360000
Batu-Caves,Kuala-Lumpur,400000
Setapak,Kuala-Lumpur,470000
Bangsar-South,Kuala-Lumpur,859196
Batu-Caves,Kuala-Lumpur,400000
Batu-Caves,Kuala-Lumpur,480000
Batu-Caves,Kuala-Lumpur,420000
Batu-Caves,Kuala-Lumpur,680000
Cheras,Kuala-Lumpur,530000
Cheras,Kuala-Lumpur,505000
Bukit-Jalil,Kuala-Lumpur,382500
Bangsar,Kuala-Lumpur,1300000
Bukit-Bintang,Kuala-Lumpur,1200000
Bukit-Bintang,Kuala-Lumpur,1199000
Cheras,Kuala-Lumpur,485000
Desa-ParkCity,Kuala-Lumpur,948888
Jalan-Klang-Lama,Kuala-Lumpur,400000
Dutamas,Kuala-Lumpur,520000
Dutamas,Kuala-Lumpur,478000
Jalan-Kuching,Kuala-Lumpur,450000
Titiwangsa,Kuala-Lumpur,600000
Bukit-Jalil,Kuala-Lumpur,550000
Jalan-Kuching,Kuala-Lumpur,420000
Jalan-Kuching,Kuala-Lumpur,430000
Titiwangsa,Kuala-Lumpur,590000
Titiwangsa,Kuala-Lumpur,630000
Jalan-Kuching,Kuala-Lumpur,550000
Bangsar,Kuala-Lumpur,980000
Jalan-Kuching,Kuala-Lumpur,400000
Jalan-Kuching,Kuala-Lumpur,498000
Bukit-Bintang,Kuala-Lumpur,1300000
Titiwangsa,Kuala-Lumpur,580000
Dutamas,Kuala-Lumpur,490000
Jalan-Kuching,Kuala-Lumpur,400000
Jalan-Kuching,Kuala-Lumpur,360000
Desa-ParkCity,Kuala-Lumpur,1300000
Wangsa-Maju,Kuala-Lumpur,670000
Jalan-Kuching,Kuala-Lumpur,410000
Dutamas,Kuala-Lumpur,500000
Bangsar,Kuala-Lumpur,1300000
Bangsar,Kuala-Lumpur,975000
Desa-Petaling,Kuala-Lumpur,440000
Jalan-Kuching,Kuala-Lumpur,545000
Dutamas,Kuala-Lumpur,488000
Titiwangsa,Kuala-Lumpur,630000
Bukit-Jalil,Kuala-Lumpur,690000
Jalan-Kuching,Kuala-Lumpur,500000
Dutamas,Kuala-Lumpur,620000
Cheras,Kuala-Lumpur,650000
Titiwangsa,Kuala-Lumpur,630000
Batu-Caves,Kuala-Lumpur,420000
Taman-Tun-Dr-Ismail,Kuala-Lumpur,1100000
Setapak,Kuala-Lumpur,600000
KLCC,Kuala-Lumpur,2800000
KLCC,Kuala-Lumpur,2982000
Taman-Desa,Kuala-Lumpur,650000
Sungai-Besi,Kuala-Lumpur,671000
Sungai-Besi,Kuala-Lumpur,560000
Jalan-Klang-Lama,Kuala-Lumpur,700000
Jalan-Ipoh,Kuala-Lumpur,630000
KLCC,Kuala-Lumpur,3264000
KLCC,Kuala-Lumpur,3244000
Sentul,Kuala-Lumpur,620000
Bukit-Jalil,Kuala-Lumpur,388001
Bukit-Jalil,Kuala-Lumpur,539000
Bangsar-South,Kuala-Lumpur,910000
Bangsar-South,Kuala-Lumpur,840000
Kepong,Kuala-Lumpur,450000
